Title,Price,Rating,Review Count,Description,Image_url,Department
PUMA Women's Seamless Sports Bra,26.2,4.5,12758,moisture wicking. adjustable straps. removable cups. active stretch. Item styling: Regular. ,https://m.media-amazon.com/images/I/61m6pUnGuzL.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
PUMA Women's Seamless Sports Bra,26.2,4.5,12758,moisture wicking. adjustable straps. removable cups. active stretch. Item styling: Regular. ,https://m.media-amazon.com/images/I/61m6pUnGuzL.__AC_SY445_SX342_QL70_ML2_.jpg,Girl Clothes
Champion Men's T-shirt Classic Tee for Men Men's T-shirt Men's Tee (Reg. Or Big & Tall),,4.5,102538,"THE FIT - Standard-fit men's T-shirt for a classic look.. THE FEEL - Crafted from a soft, 5.5 oz. cotton or cotton blend.. THE LOOK - Classic short-sleeve style with ribbed crew neckline and soft back neck tape.. SPOT THE C - Iconic C logo at the chest and left sleeve are recognizable on and off the field.. Note: C logo patch color may vary from image.. ",https://m.media-amazon.com/images/I/81sXWS93m-L.__AC_SY445_SX342_QL70_ML2_.jpg,Men Clothes
Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,10.22,4.5,91539,"UA Tech is our original go-to training gear: loose, light, and it keeps you cool. That's why this men's training T-shirt is everything you need.. Loose: Fuller cut for complete comfort.. Material wicks sweat & dries really fast. ",https://m.media-amazon.com/images/I/810Scj-0BxL.__AC_SX342_SY445_QL70_ML2_.jpg,Men Clothes
Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,10.22,4.5,91539,"UA Tech is our original go-to training gear: loose, light, and it keeps you cool. That's why this men's training T-shirt is everything you need.. Loose: Fuller cut for complete comfort.. Material wicks sweat & dries really fast. ",https://m.media-amazon.com/images/I/810Scj-0BxL.__AC_SX342_SY445_QL70_ML2_.jpg,Men Clothes
Real Essentials 5 Pack: Men’s Short Sleeve Dry Fit Active Crew Neck T Shirt - Athletic Running Gym Workout Tee Tops,34.99,4.5,87981,"ACTIVE CREW T-SHIRTS: Elevate your workout gear with our pack of 5 men's athletic workout shirts. These shirts provide the perfect blend of comfort and performance, whether you're in the gym, running on the track, or just doing errands. ATHLETIC STYLE: Look and feel great in the gym with our pack of 5 active workout t-shirts in solid colors. Perfect for layering or wearing alone, these shirts will give you the confidence you need to excel your workouts and lead in the gym.. WORKOUT TRANSFORMER: Say goodbye to sweaty T-shirts with our quick-drying dry-fit fabric that wicks away moisture and keeps you cool and dry. The breathable dry fit material easily cools heat and feels super-soft on your skin. WORKOUT WITH FREE MOTION: Enjoy a non-restrictive cut and 4 way stretch construction that allows for optimal range of motion, so you can tackle any activity with ease. Our shirts also feature a tag-free neckline for pure comfort training. GYM STAPLES FOR MEN : Add some style to your gym wardrobe with our stylish and vibrant men’s athletic crewneck shirts. Designed with your comfort and performance in mind, these shirts are a true classic that will never go out of style.. ",https://m.media-amazon.com/images/I/91FcSGFvMFL.__AC_SY445_SX342_QL70_ML2_.jpg,Men Clothes
Real Essentials 5 Pack: Men’s Short Sleeve Dry Fit Active Crew Neck T Shirt - Athletic Running Gym Workout Tee Tops,34.99,4.5,87981,"ACTIVE CREW T-SHIRTS: Elevate your workout gear with our pack of 5 men's athletic workout shirts. These shirts provide the perfect blend of comfort and performance, whether you're in the gym, running on the track, or just doing errands. ATHLETIC STYLE: Look and feel great in the gym with our pack of 5 active workout t-shirts in solid colors. Perfect for layering or wearing alone, these shirts will give you the confidence you need to excel your workouts and lead in the gym.. WORKOUT TRANSFORMER: Say goodbye to sweaty T-shirts with our quick-drying dry-fit fabric that wicks away moisture and keeps you cool and dry. The breathable dry fit material easily cools heat and feels super-soft on your skin. WORKOUT WITH FREE MOTION: Enjoy a non-restrictive cut and 4 way stretch construction that allows for optimal range of motion, so you can tackle any activity with ease. Our shirts also feature a tag-free neckline for pure comfort training. GYM STAPLES FOR MEN : Add some style to your gym wardrobe with our stylish and vibrant men’s athletic crewneck shirts. Designed with your comfort and performance in mind, these shirts are a true classic that will never go out of style.. ",https://m.media-amazon.com/images/I/91FcSGFvMFL.__AC_SY445_SX342_QL70_ML2_.jpg,Men Clothes
Amazon Essentials Men's Performance Tech Loose-Fit Shorts (Available in Big & Tall) Pack of 2,24.7,4.5,68240,"RELAXED FIT: Our most generous shorts fit, relaxed through the hip, thigh, and leg. Sits below the waist.. PERFORMANCE TECH FABRIC: An ultra-lightweight and breathable fabric, with a soft finish. Made with quick dry and moisture-wicking finishes, helping you stay comfortable and cool while you workout. This honeycomb texture knit fabric has a 4 way gentle stretch for full flexibility during wear.. BASKETBALL SHORTS: Mix and match your wardrobe with these effortless shorts, perfect for the studio or everyday comfort. These shorts are designed to sit just above the knee. Whether you're heading out for a jog, a quick game of basketball or running errands with the kids, our apparel is made to work out, live in, and lounge.. DETAILS: Featuring an adjustable elasticated waistband with drawcord , for additional security during workouts.. INSEAM LENGTH: 8"" on US size M. ",https://m.media-amazon.com/images/I/91krECqo0PL.__AC_SY445_SX342_QL70_ML2_.jpg,Men Clothes
Real Essentials 5 Pack: Men's Dry-Fit Sweat Resistant Active Athletic Performance Shorts,35.99,4.5,67213,"Get ready to upgrade your activewear game with our pack of Men's Dry Fit Shorts! Our design features a 9-inch inseam and a stretchy material that allows for full range of motion, beating out the competition in both style and comfort.. Say goodbye to soaking wet shorts during intense workouts, with our moisture-wicking Dry Fit technology. You'll stay cool, comfortable, and confident no matter what activity you're doing.. Our shorts feature a blend of polyester and spandex, providing a lightweight, breathable and quick-drying experience. Perfect for basketball, soccer, running, or any other sport or workout.. Available in classic black, white, navy blue, and gray, these shorts are perfect for any occasion. Whether you're running errands or hitting the gym, you'll look and feel your best.. At Real Essentials, our mission is to provide affordable, high-quality clothing options for hard-working families. We stand behind our products and are committed to ensuring that every customer is completely satisfied with their purchase.. ",https://m.media-amazon.com/images/I/71bOzZI0C4L.__AC_SY445_SX342_QL70_ML2_.jpg,Men Clothes
Under Armour Men's UA Tech™ Graphic Shorts,17.5,4.5,65448,"UA Tech fabric is quick-drying, ultra-soft & has a more natural feel. Material wicks sweat & dries really fast. Encased elastic waistband with internal drawcord. Mesh hand pockets. Inseam: 1"". ",https://m.media-amazon.com/images/I/71BAZfY13+L._AC_SX342_SY445_.jpg,Men Clothes
